

 Regularized -100 Train [[27.96789768]] Test[[31.7713828]]
 Regularized -1 Train [[27.96922734]] Test[[30.76997773]]
 Regularized -0.5 Train [[27.96843722]] Test[[30.78022122]]
 Regularized 0.01 Train [[27.96767301]] Test[[30.79035448]]
 Regularized 0.05 Train [[27.96761477]] Test[[30.7911362]]
 Regularized 0.1 Train [[27.96754231]] Test[[30.79211075]]
 Regularized 1 Train [[27.96629981]] Test[[30.80916909]]
 Regularized 10 Train [[27.95832215]] Test[[30.94089391]]
 Regularized 100 Train [[27.95031439]] Test[[31.28066465]]
 Regularized 1000 Train [[27.95203095]] Test[[31.42322585]]
 Regularized -100 Train [[27.43857338]] Test[[22.41826989]]
 Regularized -1 Train [[27.42891881]] Test[[21.54817334]]
 Regularized -0.5 Train [[27.42775508]] Test[[21.55625434]]
 Regularized 0.01 Train [[27.42663305]] Test[[21.56426853]]
 Regularized 0.05 Train [[27.42654769]] Test[[21.56488761]]
 Regularized 0.1 Train [[27.42644152]] Test[[21.56565955]]
 Regularized 1 Train [[27.42462627]] Test[[21.57920137]]
 Regularized 10 Train [[27.4133012]] Test[[21.68560738]]
 Regularized 100 Train [[27.40469556]] Test[[21.97367082]]
 Regularized 1000 Train [[27.40923996]] Test[[22.09968909]]
